,date,year,type,country,sex,age,fatal (y/n),original order
0,25-Jun-2018,2018.0,unprovoked,USA,F,57,N,6303.0
1,18-Jun-2018,2018.0,unprovoked,USA,F,11,N,6302.0
2,09-Jun-2018,2018.0,,USA,M,48,N,6301.0
3,08-Jun-2018,2018.0,unprovoked,AUSTRALIA,M,,N,6300.0
4,04-Jun-2018,2018.0,provoked,MEXICO,M,,N,6299.0
5,03-Jun-2018,2018.0,unprovoked,AUSTRALIA,M,,N,6298.0
6,03-Jun-2018,2018.0,unprovoked,BRAZIL,M,18,Y,6297.0
7,27-May-2018,2018.0,unprovoked,USA,M,52,N,6296.0
8,26-May-2018,2018.0,unprovoked,USA,M,15,N,6295.0
9,26-May-2018,2018.0,unprovoked,USA,M,12,N,6294.0
10,24-May-2018,2018.0,provoked,AUSTRALIA,M,32,N,6293.0
11,21-May-2018,2018.0,unprovoked,USA,M,10,N,6292.0
12,13-May-2018,2018.0,unprovoked,USA,M,10,N,6291.0
13,13-May-2018,2018.0,,ENGLAND,M,21,N,6290.0
14,May 2018,2018.0,provoked,AUSTRALIA,F,34,N,6289.0
15,12-May-2018,2018.0,unprovoked,SOUTH AFRICA,M,,N,6288.0
16,09-May-2018,2018.0,,AUSTRALIA,M,,N,6287.0
17,Reported 30-Apr-2018,2018.0,unprovoked,THAILAND,M,,N,6286.0
18,28-Apr-2018,2018.0,unprovoked,COSTA RICA,M,30,N,6285.0
19,28-Apr-2018,2018.0,unprovoked,AUSTRALIA,M,,N,6284.0
20,25-Apr-2018,2018.0,,AUSTRALIA,M,,N,6283.0
21,25-Apr-2018,2018.0,unprovoked,AUSTRALIA,M,60,N,6282.0
22,24-Apr-2018,2018.0,unprovoked,AUSTRALIA,M,,N,6281.0
23,23-Apr-2018,2018.0,unprovoked,MALDIVES,M,32,N,6280.0
24,22-Apr-2018,2018.0,unprovoked,SOUTH AFRICA,M,33,N,6279.0
25,19-Apr-2018,2018.0,unprovoked,USA,M,29,N,6278.0
26,15-Apr-2018,2018.0,unprovoked,THAILAND,M,54,N,6277.0
27,15-Apr-2018,2018.0,unprovoked,BRAZIL,M,34,,6276.0
28,15-Apr-2018,2018.0,unprovoked,AUSTRALIA,M,41,N,6275.0
29,15-Apr-2018,2018.0,unprovoked,AUSTRALIA,M,37,N,6274.0
30,14-Apr-2018,2018.0,unprovoked,BAHAMAS,M,,N,6273.0
31,Reported 10-Apr-2018,2018.0,,BRAZIL,M,56,N,6272.0
32,09-Apr-2018,2018.0,unprovoked,NEW CALEDONIA,,,N,6271.0
33,05-Apr-2018,2018.0,unprovoked,BAHAMAS,M,12,N,6270.0
34,03-Apr-2018,2018.0,unprovoked,SOUTH AFRICA,M,19,N,6269.0
35,31-Mar-2018,2018.0,unprovoked,USA,M,25,N,6268.0
36,14-Mar-2018,2018.0,unprovoked,AUSTRALIA,M,10,N,6267.0
37,9-Mar-2018,2018.0,unprovoked,AUSTRALIA,M,69,N,6266.0
38,9-Mar-2018,2018.0,unprovoked,AUSTRALIA,M,18,N,6265.0
39,24-Feb-2018,2018.0,unprovoked,SOUTH AFRICA,M,38,N,6264.0
40,23-Feb-2018,2018.0,unprovoked,AUSTRALIA,F,55,N,6263.0
41,18-Feb-2018,2018.0,provoked,AUSTRALIA,M,34,N,6262.0
42,15-Feb-2018,2018.0,unprovoked,AUSTRALIA,M,35,N,6261.0
43,14-Feb-2018,2018.0,,AUSTRALIA,F,,N,6260.0
44,11-Feb-2018,2018.0,,BRAZIL,F,46,N,6259.0
45,03-Feb-2018,2018.0,unprovoked,ECUADOR,M,45,N,6258.0
46,01-Feb-2018,2018.0,,AUSTRALIA,M,14,N,6257.0
47,28-Jan-2018,2018.0,unprovoked,AUSTRALIA,M,18,N,6256.0
48,21-Jan-2018,2018.0,unprovoked,NEW CALEDONIA,M,40s,N,6255.0
49,14-Jan-2018,2018.0,unprovoked,AUSTRALIA,M,,N,6254.0
50,13-Jan-2018,2018.0,unprovoked,AUSTRALIA,M,28,N,6253.0
51,12-Jan-2018,2018.0,unprovoked,BRAZIL,M,20,N,6252.0
52,05-Jan-2018,2018.0,unprovoked,AUSTRALIA,M,,N,6251.0
53,31-Dec-2017,2017.0,unprovoked,USA,F,54,N,6250.0
54,30-Dec-2017,2017.0,unprovoked,USA,F,35,N,6249.0
55,21-Dec-2017,2017.0,provoked,MALAYSIA,M,24,N,6248.0
56,09-Dec-2017,2017.0,unprovoked,BAHAMAS,F,25,N,6247.0
